Category,Title,Price,Rating,Reviews,URL
Laptops,,,4.8 out of 5 stars,,
Laptops,,,4.5 out of 5 stars,,
Laptops,,,4.8 out of 5 stars,,
Laptops,,,4.5 out of 5 stars,,
Laptops,,,4.2 out of 5 stars,,
Laptops,,,4.6 out of 5 stars,,
Laptops,,,3.9 out of 5 stars,,
Laptops,,,4.6 out of 5 stars,,
Laptops,,,4.3 out of 5 stars,,
Laptops,,,5.0 out of 5 stars,,
Laptops,,,4.0 out of 5 stars,,
Laptops,,,4.3 out of 5 stars,,
Laptops,,,4.1 out of 5 stars,,
Laptops,,,4.6 out of 5 stars,,
Laptops,,,4.5 out of 5 stars,,
Laptops,,,4.2 out of 5 stars,,
Laptops,,,4.6 out of 5 stars,,
Laptops,,,4.6 out of 5 stars,,
Laptops,,,4.2 out of 5 stars,,
Laptops,,,4.4 out of 5 stars,,
Laptops,,,4.2 out of 5 stars,,
Laptops,,,4.2 out of 5 stars,,
Laptops,,,3.8 out of 5 stars,,
Laptops,,,4.4 out of 5 stars,,
Laptops,,,4.3 out of 5 stars,,
Laptops,,,4.3 out of 5 stars,,
Laptops,,,5.0 out of 5 stars,,
Laptops,,,4.3 out of 5 stars,,
Laptops,,,4.2 out of 5 stars,,
Laptops,,,4.4 out of 5 stars,,
Laptops,,,4.0 out of 5 stars,,
Laptops,,,4.2 out of 5 stars,,
Laptops,,,3.2 out of 5 stars,,
Laptops,,34000,4.2 out of 5 stars,,
Laptops,,,4.3 out of 5 stars,,
Laptops,,,4.4 out of 5 stars,,
Laptops,,,4.3 out of 5 stars,,
Laptops,,,4.3 out of 5 stars,,
Laptops,,,4.5 out of 5 stars,,
Laptops,,,4.0 out of 5 stars,,
Laptops,,,4.2 out of 5 stars,,
Laptops,,,4.1 out of 5 stars,,
Headphones,,,4.3 out of 5 stars,,
Headphones,,,4.4 out of 5 stars,,
Headphones,,,4.6 out of 5 stars,,
Headphones,,,4.5 out of 5 stars,,
Headphones,,,4.2 out of 5 stars,,
Headphones,,,4.5 out of 5 stars,,
Headphones,,,4.4 out of 5 stars,,
Headphones,,,4.4 out of 5 stars,,
Headphones,,,4.6 out of 5 stars,,
Headphones,,,4.4 out of 5 stars,,
Headphones,,,,,
Headphones,,,4.5 out of 5 stars,,
Headphones,,,4.5 out of 5 stars,,
Headphones,,,4.5 out of 5 stars,,
Headphones,,,4.7 out of 5 stars,,
Headphones,,,4.5 out of 5 stars,,
Headphones,,,4.5 out of 5 stars,,
Headphones,,,4.4 out of 5 stars,,
Headphones,,,4.1 out of 5 stars,,
Headphones,,,4.4 out of 5 stars,,
Headphones,,,4.3 out of 5 stars,,
Headphones,,,4.1 out of 5 stars,,
Headphones,,,4.5 out of 5 stars,,
Headphones,,,4.3 out of 5 stars,,
Headphones,,,4.4 out of 5 stars,,
Headphones,,,4.3 out of 5 stars,,
Headphones,,,4.5 out of 5 stars,,
Headphones,,,4.5 out of 5 stars,,
Headphones,,1041,4.6 out of 5 stars,,
Headphones,,,4.5 out of 5 stars,,
Headphones,,,4.2 out of 5 stars,,
Headphones,,,4.4 out of 5 stars,,
Headphones,,,4.2 out of 5 stars,,
Headphones,,,4.6 out of 5 stars,,
Headphones,,,4.4 out of 5 stars,,
Headphones,,,4.4 out of 5 stars,,
Headphones,,,4.4 out of 5 stars,,
Headphones,,,4.3 out of 5 stars,,
Headphones,,,4.4 out of 5 stars,,
Headphones,,,4.5 out of 5 stars,,
Headphones,,,4.3 out of 5 stars,,
Headphones,,,4.1 out of 5 stars,,
Headphones,,,4.2 out of 5 stars,,
Headphones,,1272,4.6 out of 5 stars,,
